epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1431.2,0.23126,0.99434,1.37154,0.94551,0.93817,0.94956,0.40343,0.24024,0.91123,1.40726,3.33263e-05,3.33263e-05,0.066707
2,2817.75,0.17681,0.80577,1.15364,0.94816,0.93502,0.94187,0.40671,0.23932,0.82593,1.39838,6.59997e-05,6.59997e-05,0.0334064
3,3942.23,0.17155,0.74908,1.12833,0.95362,0.94478,0.94703,0.43432,0.23624,0.76577,1.37727,9.80131e-05,9.80131e-05,0.000105031
4,5096.51,0.1738,0.73535,1.1318,0.95718,0.94531,0.95133,0.43308,0.23865,0.75218,1.38132,9.703e-05,9.703e-05,9.703e-05
5,6476.04,0.17239,0.71871,1.12577,0.95855,0.94942,0.95448,0.43229,0.23957,0.747,1.38541,9.604e-05,9.604e-05,9.604e-05
6,7855.64,0.17256,0.70849,1.12559,0.95838,0.94656,0.95248,0.43505,0.23752,0.72627,1.37936,9.505e-05,9.505e-05,9.505e-05
7,9234.84,0.17299,0.69539,1.12582,0.96416,0.95046,0.95952,0.44746,0.23596,0.70395,1.36961,9.406e-05,9.406e-05,9.406e-05
8,10612.5,0.17398,0.68963,1.12788,0.95781,0.94785,0.95376,0.4361,0.23994,0.70506,1.38534,9.307e-05,9.307e-05,9.307e-05
9,11990.4,0.17385,0.68095,1.12713,0.96071,0.94638,0.95555,0.43739,0.23992,0.70461,1.38657,9.208e-05,9.208e-05,9.208e-05
10,13370.3,0.17348,0.67717,1.12598,0.96027,0.94656,0.9545,0.43739,0.23995,0.69722,1.38762,9.109e-05,9.109e-05,9.109e-05
11,14749.5,0.17277,0.67432,1.12392,0.96401,0.94326,0.95448,0.4349,0.24218,0.69453,1.39587,9.01e-05,9.01e-05,9.01e-05
12,15910.2,0.17347,0.66984,1.12557,0.96313,0.94626,0.9573,0.4385,0.24096,0.6868,1.3901,8.911e-05,8.911e-05,8.911e-05
13,17030.9,0.17448,0.66514,1.12849,0.96331,0.94629,0.95697,0.44014,0.24327,0.68288,1.39423,8.812e-05,8.812e-05,8.812e-05
14,18410.9,0.17431,0.66306,1.12766,0.96599,0.9438,0.95692,0.43613,0.24248,0.68333,1.39554,8.713e-05,8.713e-05,8.713e-05
