epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4620.69,0.33644,1.12508,1.77587,0.88872,0.80531,0.85057,0.4041,0.34604,1.06913,1.83494,8.0695e-05,8.0695e-05,8.0695e-05
41,4741.7,0.35458,1.08921,1.84954,0.84453,0.84071,0.88592,0.40202,0.34692,1.08002,1.84334,8.02e-05,8.02e-05,8.02e-05
42,4855.6,0.3577,1.1041,1.87607,0.82114,0.85841,0.86438,0.39893,0.35291,1.09538,1.84034,7.9705e-05,7.9705e-05,7.9705e-05
43,4977.65,0.3445,1.09526,1.7872,0.8798,0.85841,0.89048,0.40908,0.34906,1.05732,1.82809,7.921e-05,7.921e-05,7.921e-05
44,5099.46,0.32729,1.11348,1.74797,0.87551,0.84956,0.87522,0.38712,0.35725,1.09044,1.83913,7.8715e-05,7.8715e-05,7.8715e-05
45,5200.87,0.32055,1.12691,1.7197,0.88588,0.82434,0.88337,0.39797,0.34194,1.08747,1.79661,7.822e-05,7.822e-05,7.822e-05
46,5310.55,0.33921,1.11125,1.73874,0.88436,0.81213,0.88258,0.41791,0.33585,1.05985,1.77376,7.7725e-05,7.7725e-05,7.7725e-05
47,5432.75,0.32174,1.06155,1.72118,0.87602,0.87539,0.90454,0.41868,0.34011,1.05482,1.76898,7.723e-05,7.723e-05,7.723e-05
48,5546.59,0.34791,1.07714,1.76386,0.93862,0.81201,0.90402,0.42561,0.33864,1.01268,1.76943,7.6735e-05,7.6735e-05,7.6735e-05
49,5668.45,0.33815,1.09765,1.73999,0.91387,0.8451,0.90789,0.42252,0.33455,1.01742,1.77932,7.624e-05,7.624e-05,7.624e-05
50,5790.47,0.32154,1.05746,1.71896,0.9078,0.85841,0.92384,0.42922,0.32065,0.99601,1.74733,7.5745e-05,7.5745e-05,7.5745e-05
51,5897.19,0.31647,1.01628,1.67933,0.93282,0.86013,0.91777,0.421,0.32524,0.97815,1.73413,7.525e-05,7.525e-05,7.525e-05
