epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.28,0.8383,2.09556,2.9881,0.46838,0.38154,0.31687,0.10675,0.59022,1.84717,2.50453,3.32384e-05,3.32384e-05,0.0667949
2,401.362,0.50208,1.30539,2.38364,0.53746,0.46702,0.43981,0.16524,0.45862,1.61664,2.27913,6.59126e-05,6.59126e-05,0.0334942
3,569.5,0.41194,1.26657,2.13783,0.61109,0.51299,0.51342,0.20216,0.40589,1.52609,2.13231,9.79269e-05,9.79269e-05,0.000192894
4,737.164,0.341,1.14329,1.93337,0.63502,0.53964,0.55326,0.21664,0.37874,1.49022,2.04463,9.703e-05,9.703e-05,9.703e-05
5,906.208,0.30859,1.11346,1.80407,0.67615,0.58628,0.59943,0.23693,0.3583,1.4332,1.96203,9.604e-05,9.604e-05,9.604e-05
6,1076.37,0.27912,1.03665,1.69189,0.72417,0.61292,0.64122,0.25748,0.34403,1.38828,1.89633,9.505e-05,9.505e-05,9.505e-05
7,1250.36,0.2649,1.02479,1.61241,0.74524,0.64157,0.66642,0.26811,0.3318,1.33709,1.82683,9.406e-05,9.406e-05,9.406e-05
8,1427.79,0.24106,0.95805,1.52015,0.78147,0.63611,0.68235,0.27416,0.32765,1.31693,1.79681,9.307e-05,9.307e-05,9.307e-05
9,1613.07,0.23281,0.94231,1.47536,0.78567,0.64557,0.6929,0.27891,0.31985,1.29044,1.75519,9.208e-05,9.208e-05,9.208e-05
10,1801.93,0.21941,0.91613,1.41685,0.79435,0.63558,0.68515,0.27579,0.31626,1.29913,1.73858,9.109e-05,9.109e-05,9.109e-05
11,1990.66,0.21549,0.8979,1.38698,0.76554,0.67622,0.7053,0.28841,0.30889,1.27618,1.70614,9.01e-05,9.01e-05,9.01e-05
12,2179.55,0.2095,0.88006,1.35948,0.78058,0.66689,0.69971,0.28187,0.31142,1.27356,1.7036,8.911e-05,8.911e-05,8.911e-05
13,2368.45,0.20841,0.87576,1.33428,0.75854,0.69687,0.70028,0.28829,0.3047,1.25404,1.68132,8.812e-05,8.812e-05,8.812e-05
14,2557.17,0.19962,0.86668,1.304,0.7648,0.69756,0.70579,0.28831,0.30351,1.25596,1.67814,8.713e-05,8.713e-05,8.713e-05
15,2746.19,0.20472,0.85194,1.31215,0.76252,0.71752,0.71916,0.29327,0.30081,1.24513,1.66026,8.614e-05,8.614e-05,8.614e-05
16,2934.73,0.19367,0.84269,1.27477,0.76591,0.70626,0.71274,0.28602,0.30304,1.25719,1.6727,8.515e-05,8.515e-05,8.515e-05
17,3123.41,0.19051,0.83164,1.25597,0.7689,0.70933,0.71488,0.28797,0.30171,1.23763,1.66464,8.416e-05,8.416e-05,8.416e-05
18,3312.29,0.19049,0.82422,1.2483,0.76658,0.70452,0.70746,0.28383,0.30156,1.23351,1.66305,8.317e-05,8.317e-05,8.317e-05
19,3501.08,0.19156,0.82787,1.25329,0.78429,0.70245,0.71579,0.28532,0.30173,1.22745,1.66837,8.218e-05,8.218e-05,8.218e-05
20,3689.54,0.18446,0.80773,1.22861,0.77619,0.72086,0.72335,0.29546,0.29645,1.20068,1.63771,8.119e-05,8.119e-05,8.119e-05
21,3878.35,0.18411,0.81687,1.21111,0.78273,0.71819,0.72055,0.28987,0.29828,1.20768,1.64857,8.02e-05,8.02e-05,8.02e-05
22,4067.21,0.18425,0.79634,1.21256,0.76847,0.71286,0.71484,0.28317,0.30154,1.22148,1.66483,7.921e-05,7.921e-05,7.921e-05
23,4255.87,0.18024,0.80038,1.19817,0.77294,0.71686,0.72242,0.2913,0.29664,1.20094,1.63835,7.822e-05,7.822e-05,7.822e-05
24,4444.56,0.1785,0.7915,1.19631,0.78373,0.72427,0.73354,0.29472,0.29635,1.20363,1.63663,7.723e-05,7.723e-05,7.723e-05
25,4633.39,0.17878,0.78542,1.19619,0.78011,0.72091,0.72676,0.28654,0.29791,1.21069,1.64721,7.624e-05,7.624e-05,7.624e-05
26,4822.24,0.1767,0.78382,1.18667,0.77798,0.72818,0.73046,0.29634,0.29331,1.18956,1.62304,7.525e-05,7.525e-05,7.525e-05
27,5011.03,0.17411,0.77309,1.16748,0.7818,0.73043,0.73685,0.30264,0.29267,1.18233,1.62226,7.426e-05,7.426e-05,7.426e-05
28,5200.09,0.17954,0.76742,1.19519,0.77938,0.73684,0.74208,0.30137,0.2928,1.18007,1.62612,7.327e-05,7.327e-05,7.327e-05
29,5388.88,0.17271,0.77005,1.1651,0.78123,0.72885,0.73277,0.29618,0.29621,1.17185,1.63799,7.228e-05,7.228e-05,7.228e-05
30,5577.69,0.17624,0.76051,1.18384,0.78549,0.71752,0.73599,0.30108,0.29313,1.16911,1.61992,7.129e-05,7.129e-05,7.129e-05
31,5766.51,0.17446,0.77866,1.16415,0.77672,0.73018,0.73229,0.29489,0.29378,1.17526,1.62924,7.03e-05,7.03e-05,7.03e-05
32,5955.31,0.17082,0.75494,1.15875,0.7959,0.72224,0.73404,0.29445,0.29386,1.17675,1.62927,6.931e-05,6.931e-05,6.931e-05
33,6144.15,0.17082,0.74956,1.15581,0.78864,0.72339,0.72818,0.29885,0.29042,1.15882,1.60547,6.832e-05,6.832e-05,6.832e-05
34,6333.03,0.17711,0.77484,1.17526,0.79105,0.71883,0.73078,0.30158,0.29038,1.15423,1.61074,6.733e-05,6.733e-05,6.733e-05
35,6521.84,0.17382,0.75123,1.16273,0.78026,0.72552,0.73677,0.29618,0.29421,1.17135,1.63243,6.634e-05,6.634e-05,6.634e-05
36,6710.49,0.17144,0.74636,1.16026,0.78499,0.72485,0.7303,0.29611,0.29201,1.16935,1.61646,6.535e-05,6.535e-05,6.535e-05
37,6899.24,0.17059,0.75063,1.15119,0.7912,0.72352,0.73704,0.29752,0.29109,1.15722,1.61836,6.436e-05,6.436e-05,6.436e-05
38,7088,0.16915,0.73853,1.14142,0.79277,0.71952,0.7366,0.29613,0.2943,1.18259,1.63165,6.337e-05,6.337e-05,6.337e-05
39,7276.87,0.16884,0.73138,1.14443,0.78151,0.71729,0.72928,0.28815,0.29583,1.18744,1.63942,6.238e-05,6.238e-05,6.238e-05
40,7465.93,0.17007,0.73315,1.14681,0.78777,0.72685,0.74078,0.30404,0.2896,1.15107,1.60451,6.139e-05,6.139e-05,6.139e-05
41,7654.68,0.16959,0.73587,1.14669,0.78188,0.73078,0.74178,0.30793,0.28742,1.13565,1.59641,6.04e-05,6.04e-05,6.04e-05
42,7843.75,0.16786,0.7184,1.13947,0.77782,0.72285,0.73601,0.29623,0.29439,1.16292,1.63462,5.941e-05,5.941e-05,5.941e-05
43,8032.5,0.16455,0.70493,1.13274,0.78509,0.71952,0.73588,0.29791,0.2905,1.16105,1.60927,5.842e-05,5.842e-05,5.842e-05
44,8221.42,0.16587,0.71643,1.13177,0.78052,0.71352,0.72753,0.2975,0.29221,1.15331,1.62593,5.743e-05,5.743e-05,5.743e-05
