epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,27299.7,0.20126,0.86745,1.23321,0.72462,0.71619,0.69882,0.26701,0.28402,1.18943,1.53267,8.119e-05,8.119e-05,8.119e-05
40,28025,0.19976,0.87209,1.23122,0.68984,0.72162,0.68003,0.23025,0.30054,1.2391,1.60947,8.0695e-05,8.0695e-05,8.0695e-05
41,28750.2,0.19872,0.86828,1.2239,0.73932,0.71044,0.70167,0.26533,0.28738,1.22768,1.54852,8.02e-05,8.02e-05,8.02e-05
42,29475.6,0.20147,0.85935,1.23635,0.74582,0.72751,0.69436,0.26632,0.28207,1.2114,1.51958,7.9705e-05,7.9705e-05,7.9705e-05
43,30201.6,0.19578,0.83626,1.21257,0.69265,0.68488,0.64925,0.22518,0.29982,1.26183,1.61114,7.921e-05,7.921e-05,7.921e-05
44,30928.6,0.1962,0.85142,1.21663,0.7163,0.71486,0.68716,0.26802,0.27822,1.20128,1.51589,7.8715e-05,7.8715e-05,7.8715e-05
45,31653.4,0.19648,0.85325,1.21979,0.75219,0.70777,0.69877,0.26399,0.28563,1.21261,1.54285,7.822e-05,7.822e-05,7.822e-05
46,32378.2,0.19727,0.85941,1.21512,0.6981,0.71482,0.68044,0.25688,0.2889,1.22291,1.56473,7.7725e-05,7.7725e-05,7.7725e-05
47,33101.2,0.19042,0.86346,1.19639,0.69261,0.69953,0.6595,0.23457,0.29194,1.26381,1.57029,7.723e-05,7.723e-05,7.723e-05
48,33822.9,0.19009,0.83449,1.19399,0.75195,0.71752,0.71725,0.28069,0.27956,1.16718,1.5114,7.6735e-05,7.6735e-05,7.6735e-05
49,34547.5,0.19187,0.86248,1.20011,0.72422,0.71908,0.6961,0.2664,0.28242,1.1956,1.52835,7.624e-05,7.624e-05,7.624e-05
50,35231,0.19129,0.82175,1.19874,0.72434,0.7335,0.69148,0.25575,0.28873,1.17007,1.5605,7.5745e-05,7.5745e-05,7.5745e-05
51,35732.8,0.19474,0.8578,1.20949,0.7122,0.72704,0.69274,0.25748,0.28785,1.18922,1.55088,7.525e-05,7.525e-05,7.525e-05
52,36237.5,0.19793,0.85071,1.22429,0.71048,0.69483,0.66782,0.23974,0.29704,1.21873,1.60472,7.4755e-05,7.4755e-05,7.4755e-05
