epoch,video,frames,ap50,recall,zero_det_frames
24,data6,399,94.74,95.74,13
24,data11,745,96.89,97.58,13
24,data12,1500,100.00,100.00,0
24,data15,751,12.89,42.61,178
24,data18,500,96.12,97.60,10
24,data20,400,91.76,92.25,4
24,data21,500,14.89,39.20,52
25,data6,399,94.74,95.74,11
25,data11,745,96.90,97.58,11
25,data12,1500,100.00,100.00,0
25,data15,751,12.56,41.68,183
25,data18,500,96.98,98.00,8
25,data20,400,91.65,92.00,6
25,data21,500,13.71,37.40,66
26,data6,399,95.61,96.24,4
26,data11,745,97.01,97.99,4
26,data12,1500,100.00,100.00,0
26,data15,751,7.72,33.42,174
26,data18,500,97.25,98.60,6
26,data20,400,91.54,92.00,6
26,data21,500,13.11,41.20,47
27,data6,399,95.86,96.49,6
27,data11,745,97.74,98.12,6
27,data12,1500,100.00,100.00,0
27,data15,751,4.92,25.57,194
27,data18,500,97.15,98.60,5
27,data20,400,91.60,92.00,7
27,data21,500,9.29,36.20,53
28,data6,399,95.72,96.49,4
28,data11,745,96.99,97.85,4
28,data12,1500,100.00,100.00,0
28,data15,751,4.07,22.10,217
28,data18,500,96.23,97.20,10
28,data20,400,91.61,92.00,6
28,data21,500,12.79,38.80,42
29,data6,399,95.63,96.49,7
29,data11,745,97.76,98.26,7
29,data12,1500,100.00,100.00,0
29,data15,751,3.67,20.64,235
29,data18,500,96.27,97.20,10
29,data20,400,90.89,91.75,6
29,data21,500,16.22,42.80,39
30,data6,399,94.72,95.24,11
30,data11,745,96.94,97.58,11
30,data12,1500,100.00,100.00,0
30,data15,751,2.51,15.45,298
30,data18,500,97.31,98.60,5
30,data20,400,90.79,91.50,7
30,data21,500,13.61,43.80,25
31,data6,399,93.80,94.74,15
31,data11,745,96.82,97.32,15
31,data12,1500,100.00,100.00,0
31,data15,751,2.04,13.72,326
31,data18,500,98.16,99.20,3
31,data20,400,90.84,91.25,11
31,data21,500,12.44,45.60,22
32,data6,399,93.81,94.74,15
32,data11,745,96.85,97.18,15
32,data12,1500,100.00,100.00,0
32,data15,751,1.79,11.98,381
32,data18,500,98.17,99.40,2
32,data20,400,90.95,91.50,12
32,data21,500,13.12,45.80,30
33,data6,399,93.78,94.74,12
33,data11,745,96.85,97.18,12
33,data12,1500,100.00,100.00,0
33,data15,751,1.26,9.59,407
33,data18,500,98.19,99.60,1
33,data20,400,90.99,91.50,13
33,data21,500,12.72,41.60,50
34,data6,399,93.59,94.24,12
34,data11,745,96.00,96.91,12
34,data12,1500,100.00,100.00,0
34,data15,751,0.77,7.06,423
34,data18,500,98.18,99.60,1
34,data20,400,90.98,91.50,22
34,data21,500,13.23,41.20,55
35,data6,399,92.80,93.98,13
35,data11,745,95.97,96.78,13
35,data12,1500,100.00,100.00,0
35,data15,751,0.64,6.79,417
35,data18,500,98.01,99.40,2
35,data20,400,90.98,91.75,22
35,data21,500,15.00,43.40,67
36,data6,399,93.58,94.24,13
36,data11,745,95.99,96.91,13
36,data12,1500,100.00,100.00,0
36,data15,751,0.67,6.92,427
36,data18,500,97.14,98.80,5
36,data20,400,91.76,92.00,22
36,data21,500,9.04,34.00,85
37,data6,399,93.69,94.74,11
37,data11,745,96.81,97.18,11
37,data12,1500,100.00,100.00,0
37,data15,751,0.48,5.19,456
37,data18,500,96.93,98.00,7
37,data20,400,90.96,91.75,19
37,data21,500,7.16,32.40,90
38,data6,399,93.89,94.99,12
38,data11,745,96.89,97.45,12
38,data12,1500,100.00,100.00,0
38,data15,751,0.53,5.46,454
38,data18,500,96.03,97.80,9
38,data20,400,90.86,91.00,21
38,data21,500,7.67,32.00,97
39,data6,399,94.58,95.24,12
