epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.264,1.03288,2.50815,3.39389,0.32624,0.46819,0.30575,0.08685,0.91908,3.56485,2.83048,3.31658e-05,3.31658e-05,0.0668673
2,326.633,0.65768,1.60833,2.72468,0.70067,0.75048,0.77843,0.31268,0.64188,1.35988,2.54014,6.58408e-05,6.58408e-05,0.0335667
3,498.895,0.53205,1.44229,2.48174,0.82188,0.8101,0.84318,0.38347,0.49846,1.26254,2.27877,9.78558e-05,9.78558e-05,0.00026536
4,658.213,0.45824,1.31747,2.28849,0.8737,0.83206,0.88792,0.44456,0.45214,1.24153,2.12408,9.703e-05,9.703e-05,9.703e-05
5,821.69,0.40888,1.25105,2.12187,0.89947,0.84234,0.91425,0.50886,0.39862,1.16326,2.02726,9.604e-05,9.604e-05,9.604e-05
6,993.944,0.3738,1.20639,2.05677,0.92194,0.84987,0.92292,0.54965,0.37216,1.12279,1.92232,9.505e-05,9.505e-05,9.505e-05
7,1151.68,0.3687,1.1626,1.97805,0.95996,0.85407,0.93457,0.5833,0.3462,1.07595,1.83445,9.406e-05,9.406e-05,9.406e-05
8,1316.42,0.33656,1.1516,1.88488,0.96232,0.89059,0.94393,0.58505,0.33081,1.03931,1.74756,9.307e-05,9.307e-05,9.307e-05
9,1488.13,0.31379,1.10529,1.80802,0.96659,0.89567,0.94468,0.63123,0.29807,1.007,1.68981,9.208e-05,9.208e-05,9.208e-05
10,1644.21,0.29182,1.09064,1.7318,0.96247,0.91357,0.94802,0.64804,0.27566,0.97988,1.59905,9.109e-05,9.109e-05,9.109e-05
11,1811.2,0.27453,1.00912,1.67545,0.97404,0.9084,0.94778,0.6656,0.25555,0.95516,1.53717,9.01e-05,9.01e-05,9.01e-05
12,1983.27,0.26425,1.0096,1.61805,0.9822,0.92112,0.94888,0.67781,0.23654,0.94386,1.47229,8.911e-05,8.911e-05,8.911e-05
13,2137.9,0.24295,0.95805,1.52747,0.98242,0.92366,0.94923,0.69152,0.22352,0.91945,1.42402,8.812e-05,8.812e-05,8.812e-05
14,2306.8,0.24544,0.94747,1.52668,0.98024,0.9313,0.94869,0.69042,0.2104,0.88908,1.37908,8.713e-05,8.713e-05,8.713e-05
15,2478.67,0.23441,0.93395,1.50085,0.98587,0.9313,0.95051,0.70527,0.20333,0.8725,1.34596,8.614e-05,8.614e-05,8.614e-05
16,2630.89,0.22876,0.91141,1.46126,0.98921,0.93278,0.95012,0.70542,0.19636,0.86079,1.30986,8.515e-05,8.515e-05,8.515e-05
17,2801.41,0.21966,0.93237,1.42418,0.98921,0.93322,0.95143,0.70244,0.19439,0.85316,1.29212,8.416e-05,8.416e-05,8.416e-05
18,2973.47,0.21615,0.89406,1.3981,0.98041,0.94148,0.95042,0.70682,0.18637,0.84443,1.26319,8.317e-05,8.317e-05,8.317e-05
19,3124.36,0.21467,0.87042,1.38319,0.98919,0.93161,0.95218,0.71011,0.17999,0.82581,1.24,8.218e-05,8.218e-05,8.218e-05
20,3296.49,0.20873,0.87432,1.35819,0.99188,0.9323,0.95219,0.7116,0.18153,0.81882,1.23093,8.119e-05,8.119e-05,8.119e-05
21,3468.5,0.20941,0.89577,1.3436,0.98927,0.93825,0.95267,0.71353,0.17994,0.81805,1.21941,8.02e-05,8.02e-05,8.02e-05
22,3619.36,0.19952,0.87302,1.33163,0.99461,0.93864,0.95404,0.716,0.17493,0.80687,1.20806,7.921e-05,7.921e-05,7.921e-05
23,3791.28,0.19817,0.83303,1.30697,0.98399,0.9385,0.95189,0.71699,0.16953,0.80157,1.18978,7.822e-05,7.822e-05,7.822e-05
24,3961.48,0.1981,0.87104,1.31384,0.99145,0.94148,0.95516,0.71421,0.16984,0.79437,1.18302,7.723e-05,7.723e-05,7.723e-05
25,4114.75,0.19353,0.83842,1.28692,0.98854,0.94148,0.95353,0.71723,0.17013,0.78808,1.17406,7.624e-05,7.624e-05,7.624e-05
26,4286.24,0.19314,0.8289,1.28076,0.98831,0.94148,0.95493,0.72064,0.1651,0.7736,1.15709,7.525e-05,7.525e-05,7.525e-05
27,4454.79,0.19098,0.82957,1.27628,0.99462,0.94068,0.95497,0.7272,0.16619,0.77329,1.15867,7.426e-05,7.426e-05,7.426e-05
28,4609.74,0.19817,0.84637,1.28015,0.99177,0.94148,0.95367,0.72289,0.16603,0.77338,1.14994,7.327e-05,7.327e-05,7.327e-05
29,4781.67,0.19885,0.84213,1.28755,0.98886,0.94148,0.95425,0.72096,0.16451,0.7735,1.14303,7.228e-05,7.228e-05,7.228e-05
30,4947.86,0.18842,0.8381,1.25793,0.98828,0.94148,0.95497,0.7246,0.16103,0.76242,1.13572,7.129e-05,7.129e-05,7.129e-05
31,5104.65,0.18491,0.82391,1.25046,0.98809,0.94148,0.9547,0.72346,0.16122,0.75628,1.12923,7.03e-05,7.03e-05,7.03e-05
32,5276.62,0.18142,0.81622,1.23082,0.99462,0.94054,0.95627,0.72076,0.16194,0.74911,1.12944,6.931e-05,6.931e-05,6.931e-05
33,5441.63,0.19006,0.81468,1.25117,0.98914,0.94148,0.95535,0.72225,0.16134,0.76112,1.12394,6.832e-05,6.832e-05,6.832e-05
34,5600.18,0.18262,0.78595,1.22228,0.98579,0.94148,0.95431,0.72607,0.15918,0.74465,1.11484,6.733e-05,6.733e-05,6.733e-05
35,5772.6,0.18137,0.80717,1.22871,0.99179,0.94148,0.9565,0.72644,0.15914,0.74691,1.11539,6.634e-05,6.634e-05,6.634e-05
36,5934.86,0.17548,0.78624,1.20357,0.99195,0.94015,0.95547,0.72343,0.15885,0.74422,1.11226,6.535e-05,6.535e-05,6.535e-05
37,6095.76,0.18996,0.82764,1.24451,0.99146,0.94148,0.95676,0.72526,0.15867,0.7444,1.11114,6.436e-05,6.436e-05,6.436e-05
38,6267.87,0.17655,0.78658,1.19973,0.9893,0.94072,0.95692,0.72808,0.15888,0.73626,1.10937,6.337e-05,6.337e-05,6.337e-05
39,6428.69,0.1755,0.78518,1.19887,0.9893,0.94085,0.95613,0.73337,0.15739,0.73867,1.10449,6.238e-05,6.238e-05,6.238e-05
40,6591.04,0.18159,0.78846,1.22436,0.99166,0.94148,0.95801,0.73237,0.15652,0.73331,1.10043,6.139e-05,6.139e-05,6.139e-05
41,6762.51,0.18169,0.80145,1.20998,0.98877,0.94148,0.95714,0.72604,0.15629,0.73014,1.09965,6.04e-05,6.04e-05,6.04e-05
42,6921.83,0.16795,0.78106,1.16822,0.9893,0.94076,0.9571,0.73128,0.15582,0.72014,1.09666,5.941e-05,5.941e-05,5.941e-05
43,7085.68,0.18582,0.80099,1.23614,0.98917,0.94148,0.95629,0.73218,0.15512,0.71791,1.094,5.842e-05,5.842e-05,5.842e-05
44,7257.5,0.17379,0.76887,1.19411,0.9893,0.94139,0.95742,0.73417,0.15422,0.72134,1.08679,5.743e-05,5.743e-05,5.743e-05
45,7415.13,0.18135,0.78496,1.20693,0.99196,0.94136,0.95831,0.7306,0.15488,0.7133,1.09006,5.644e-05,5.644e-05,5.644e-05
46,7580.98,0.17262,0.7607,1.17422,0.98916,0.94148,0.95781,0.72874,0.15435,0.72068,1.08746,5.545e-05,5.545e-05,5.545e-05
47,7752.97,0.17062,0.76068,1.17595,0.99462,0.94007,0.95939,0.73687,0.15076,0.70306,1.07885,5.446e-05,5.446e-05,5.446e-05
48,7908.61,0.17348,0.77346,1.17006,0.99195,0.941,0.95831,0.73378,0.15233,0.70966,1.08063,5.347e-05,5.347e-05,5.347e-05
49,8075.88,0.16741,0.74588,1.16703,0.99195,0.94036,0.9584,0.73629,0.15072,0.69881,1.07529,5.248e-05,5.248e-05,5.248e-05
50,8247.87,0.18005,0.79391,1.19412,0.99462,0.94044,0.95957,0.72976,0.15131,0.69932,1.07412,5.149e-05,5.149e-05,5.149e-05
51,8402.38,0.17088,0.76363,1.17399,0.99461,0.93989,0.95971,0.73623,0.15021,0.70562,1.07276,5.05e-05,5.05e-05,5.05e-05
52,8571.93,0.16686,0.75404,1.15932,0.99462,0.94002,0.95911,0.73237,0.15116,0.70789,1.07515,4.951e-05,4.951e-05,4.951e-05
53,8743.95,0.17097,0.74938,1.16767,0.99461,0.93951,0.96135,0.7342,0.14872,0.69517,1.0672,4.852e-05,4.852e-05,4.852e-05
54,8894.92,0.17715,0.75339,1.18532,0.9893,0.94085,0.95865,0.73554,0.15123,0.70624,1.0724,4.753e-05,4.753e-05,4.753e-05
55,9066.72,0.1666,0.74271,1.15894,0.99195,0.9401,0.96112,0.73886,0.14907,0.69433,1.06954,4.654e-05,4.654e-05,4.654e-05
56,9238.89,0.17072,0.75177,1.1796,0.9893,0.94092,0.96084,0.73199,0.15083,0.69895,1.0697,4.555e-05,4.555e-05,4.555e-05
57,9390.06,0.17279,0.76053,1.17817,0.99462,0.94076,0.96173,0.73792,0.15053,0.69214,1.06911,4.456e-05,4.456e-05,4.456e-05
58,9561.29,0.17239,0.74539,1.17095,0.99461,0.93979,0.95978,0.73506,0.14998,0.70121,1.06901,4.357e-05,4.357e-05,4.357e-05
59,9732.99,0.18067,0.77899,1.18566,0.99194,0.93939,0.96124,0.73652,0.14836,0.68965,1.06403,4.258e-05,4.258e-05,4.258e-05
60,9885.03,0.16424,0.74242,1.14542,0.99194,0.93941,0.96149,0.73447,0.1497,0.69266,1.06381,4.159e-05,4.159e-05,4.159e-05
61,10057,0.16784,0.7391,1.15043,0.99534,0.93893,0.96217,0.73635,0.14861,0.68613,1.062,4.06e-05,4.06e-05,4.06e-05
62,10226.8,0.16324,0.72863,1.13899,0.99148,0.94148,0.96202,0.73695,0.14823,0.68787,1.06203,3.961e-05,3.961e-05,3.961e-05
63,10380.5,0.16504,0.7306,1.14154,0.99301,0.93893,0.9618,0.7337,0.14781,0.68618,1.05967,3.862e-05,3.862e-05,3.862e-05
64,10552.3,0.16022,0.73432,1.13294,0.99445,0.94148,0.96251,0.73824,0.14724,0.68418,1.05797,3.763e-05,3.763e-05,3.763e-05
65,10720,0.16652,0.74145,1.14248,0.99046,0.93893,0.9623,0.73962,0.14636,0.68069,1.05514,3.664e-05,3.664e-05,3.664e-05
