epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,12543.9,0.21874,1.00089,1.31593,0.92192,0.90331,0.94462,0.6444,0.18176,0.84543,1.18724,8.0695e-05,8.0695e-05,8.0695e-05
41,12916.2,0.22572,1.00035,1.32684,0.91748,0.94402,0.94909,0.65972,0.17919,0.80232,1.17613,8.02e-05,8.02e-05,8.02e-05
42,13261,0.20946,0.94394,1.27444,0.92803,0.91868,0.94667,0.64349,0.18308,0.84931,1.18284,7.9705e-05,7.9705e-05,7.9705e-05
43,13630.5,0.22969,1.00565,1.34763,0.89717,0.91026,0.93847,0.63085,0.18739,0.86429,1.20271,7.921e-05,7.921e-05,7.921e-05
44,13974.2,0.21764,0.96628,1.31316,0.91903,0.92419,0.94949,0.66367,0.18094,0.81383,1.18044,7.8715e-05,7.8715e-05,7.8715e-05
45,14345.5,0.22008,0.97582,1.30924,0.93123,0.93036,0.95333,0.63675,0.19109,0.82374,1.19952,7.822e-05,7.822e-05,7.822e-05
46,14691.1,0.2152,0.9621,1.2927,0.92764,0.90585,0.95206,0.64304,0.18568,0.81519,1.1852,7.7725e-05,7.7725e-05,7.7725e-05
47,15061.9,0.21436,0.94213,1.29229,0.92415,0.89822,0.95057,0.6506,0.18344,0.80622,1.17627,7.723e-05,7.723e-05,7.723e-05
48,15412.4,0.21204,0.95904,1.27462,0.92561,0.9084,0.94806,0.65468,0.17503,0.80523,1.16199,7.6735e-05,7.6735e-05,7.6735e-05
49,15780.4,0.20262,0.9297,1.25829,0.94583,0.92112,0.95663,0.67126,0.17418,0.79536,1.15548,7.624e-05,7.624e-05,7.624e-05
50,16132.9,0.21651,0.96043,1.29173,0.9059,0.92366,0.95323,0.66115,0.17969,0.8302,1.16633,7.5745e-05,7.5745e-05,7.5745e-05
51,16498.6,0.20783,0.93078,1.27007,0.93618,0.93312,0.9563,0.6588,0.17877,0.79832,1.16282,7.525e-05,7.525e-05,7.525e-05
52,16853,0.20481,0.91243,1.2589,0.94028,0.89313,0.95262,0.65642,0.17394,0.82326,1.14981,7.4755e-05,7.4755e-05,7.4755e-05
53,17213,0.20621,0.91673,1.26574,0.92129,0.91858,0.94933,0.68144,0.16712,0.77793,1.13183,7.426e-05,7.426e-05,7.426e-05
54,17569.3,0.19823,0.89958,1.24065,0.93068,0.91858,0.95508,0.67822,0.17057,0.77909,1.13716,7.3765e-05,7.3765e-05,7.3765e-05
55,17928.1,0.20361,0.90145,1.26062,0.93252,0.9084,0.95557,0.68149,0.16712,0.7799,1.1179,7.327e-05,7.327e-05,7.327e-05
56,18289.3,0.20226,0.8991,1.25352,0.94294,0.91349,0.95654,0.66096,0.17483,0.78477,1.14722,7.2775e-05,7.2775e-05,7.2775e-05
57,18645.3,0.20422,0.92873,1.26263,0.94008,0.90076,0.95518,0.67732,0.1677,0.77684,1.12516,7.228e-05,7.228e-05,7.228e-05
58,19010,0.20312,0.9197,1.24998,0.94445,0.89567,0.95179,0.6697,0.17698,0.77341,1.14449,7.1785e-05,7.1785e-05,7.1785e-05
59,19362.3,0.20955,0.91617,1.27003,0.93723,0.91187,0.95616,0.67435,0.16978,0.77185,1.13069,7.129e-05,7.129e-05,7.129e-05
60,19730.2,0.19862,0.90137,1.23594,0.94321,0.9297,0.96046,0.68168,0.16899,0.75648,1.12435,7.0795e-05,7.0795e-05,7.0795e-05
61,20081.7,0.19903,0.90587,1.23367,0.91164,0.9313,0.9558,0.68522,0.16553,0.76609,1.11539,7.03e-05,7.03e-05,7.03e-05
62,20451.3,0.18855,0.87946,1.20976,0.92615,0.92537,0.95668,0.66994,0.16631,0.76325,1.11897,6.9805e-05,6.9805e-05,6.9805e-05
63,20795.8,0.19856,0.89138,1.23195,0.9396,0.93639,0.95753,0.67058,0.16999,0.75711,1.1208,6.931e-05,6.931e-05,6.931e-05
64,21168,0.19257,0.89446,1.21464,0.92586,0.92152,0.95803,0.66479,0.17458,0.76719,1.13709,6.8815e-05,6.8815e-05,6.8815e-05
65,21513.7,0.19784,0.88183,1.22429,0.93139,0.93384,0.96151,0.66552,0.17635,0.77273,1.14311,6.832e-05,6.832e-05,6.832e-05
66,21884.9,0.20761,0.92273,1.26077,0.93107,0.93384,0.96168,0.64447,0.18235,0.77207,1.15977,6.7825e-05,6.7825e-05,6.7825e-05
67,22232.8,0.19444,0.8602,1.21869,0.93426,0.91858,0.96249,0.68376,0.16999,0.73751,1.12105,6.733e-05,6.733e-05,6.733e-05
68,22604.2,0.19167,0.86105,1.2019,0.9346,0.9084,0.96116,0.68471,0.16777,0.75567,1.11355,6.6835e-05,6.6835e-05,6.6835e-05
69,22950.8,0.18704,0.84423,1.19825,0.93914,0.90314,0.96356,0.68359,0.16975,0.75652,1.12444,6.634e-05,6.634e-05,6.634e-05
70,23321.4,0.19929,0.88254,1.23093,0.94822,0.93384,0.97037,0.69346,0.16263,0.73167,1.10816,6.5845e-05,6.5845e-05,6.5845e-05
71,23667.2,0.18912,0.86788,1.19357,0.94063,0.93893,0.96947,0.68871,0.16332,0.73002,1.10564,6.535e-05,6.535e-05,6.535e-05
72,24036.6,0.19357,0.87079,1.20772,0.92808,0.91945,0.96311,0.67743,0.16527,0.76387,1.1097,6.4855e-05,6.4855e-05,6.4855e-05
73,24381,0.19566,0.88821,1.22489,0.92945,0.93862,0.96659,0.69315,0.16011,0.74818,1.09654,6.436e-05,6.436e-05,6.436e-05
74,24753.1,0.18702,0.85347,1.1938,0.92747,0.91109,0.9653,0.67904,0.1636,0.74463,1.10952,6.3865e-05,6.3865e-05,6.3865e-05
75,25103.7,0.1991,0.90465,1.22584,0.94291,0.92454,0.97085,0.69273,0.15759,0.73823,1.08771,6.337e-05,6.337e-05,6.337e-05
76,25470.3,0.19458,0.84788,1.22059,0.96259,0.91653,0.97444,0.69181,0.1637,0.73299,1.10356,6.2875e-05,6.2875e-05,6.2875e-05
77,25824.6,0.18376,0.8216,1.18837,0.95957,0.94402,0.97566,0.68441,0.16374,0.71929,1.10061,6.238e-05,6.238e-05,6.238e-05
78,26188.2,0.20025,0.89082,1.22756,0.91331,0.9313,0.96233,0.67635,0.16946,0.75515,1.11695,6.1885e-05,6.1885e-05,6.1885e-05
79,26544.5,0.19155,0.85457,1.20356,0.93661,0.92875,0.97166,0.71112,0.15544,0.71914,1.08326,6.139e-05,6.139e-05,6.139e-05
80,26905.8,0.18412,0.8367,1.18964,0.94034,0.92875,0.97163,0.70003,0.1572,0.72416,1.08581,6.0895e-05,6.0895e-05,6.0895e-05
81,27263.6,0.18493,0.83973,1.18842,0.93794,0.93893,0.97132,0.70455,0.15508,0.7186,1.07836,6.04e-05,6.04e-05,6.04e-05
82,27605.2,0.18712,0.86001,1.19252,0.92584,0.9313,0.97139,0.70723,0.15799,0.70187,1.08904,5.9905e-05,5.9905e-05,5.9905e-05
83,27956.1,0.18413,0.86553,1.18375,0.94391,0.9313,0.97243,0.70475,0.15671,0.70138,1.08405,5.941e-05,5.941e-05,5.941e-05
84,28302.4,0.19013,0.85674,1.20112,0.95083,0.93893,0.97161,0.69577,0.16288,0.71024,1.10252,5.8915e-05,5.8915e-05,5.8915e-05
85,28654.3,0.18795,0.85128,1.19244,0.94785,0.94656,0.97336,0.69487,0.16735,0.71086,1.11404,5.842e-05,5.842e-05,5.842e-05
86,28997.3,0.17894,0.80718,1.17044,0.92789,0.9313,0.97194,0.71152,0.15634,0.68715,1.07849,5.7925e-05,5.7925e-05,5.7925e-05
87,29353.4,0.18371,0.83786,1.18298,0.94424,0.94801,0.97321,0.70389,0.15736,0.6959,1.08117,5.743e-05,5.743e-05,5.743e-05
88,29692.8,0.17616,0.80789,1.15084,0.9474,0.94148,0.97438,0.72803,0.14684,0.65983,1.05351,5.6935e-05,5.6935e-05,5.6935e-05
89,30054.1,0.17419,0.78466,1.14753,0.96353,0.94108,0.97558,0.71557,0.15246,0.67751,1.06655,5.644e-05,5.644e-05,5.644e-05
90,30388.2,0.18235,0.81187,1.17415,0.97253,0.94148,0.97953,0.72059,0.15032,0.65263,1.05724,5.5945e-05,5.5945e-05,5.5945e-05
91,30749.5,0.18135,0.80063,1.17099,0.98566,0.93639,0.97889,0.70708,0.15534,0.6456,1.0692,5.545e-05,5.545e-05,5.545e-05
92,31082.6,0.18349,0.8028,1.18391,0.96971,0.94402,0.98006,0.70217,0.16362,0.65379,1.09298,5.4955e-05,5.4955e-05,5.4955e-05
93,31444.3,0.1872,0.79965,1.18883,0.97102,0.93796,0.97912,0.70778,0.16059,0.64399,1.08226,5.446e-05,5.446e-05,5.446e-05
94,31781.4,0.1796,0.79939,1.16913,0.96053,0.95674,0.98136,0.72404,0.15287,0.62863,1.06488,5.3965e-05,5.3965e-05,5.3965e-05
