epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,83228.9,0.15315,0.48477,1.06095,0.95192,0.94852,0.9529,0.47535,0.23178,0.5462,1.38914,6.139e-05,6.139e-05,6.139e-05
41,85416.7,0.15244,0.48417,1.05862,0.95257,0.94879,0.95344,0.47719,0.2311,0.5436,1.38598,6.04e-05,6.04e-05,6.04e-05
42,87601.2,0.15297,0.48183,1.06041,0.95304,0.94817,0.95336,0.47725,0.23112,0.54215,1.38626,5.941e-05,5.941e-05,5.941e-05
43,89798.2,0.15267,0.48219,1.0595,0.95326,0.94861,0.95348,0.47695,0.23128,0.54202,1.38676,5.842e-05,5.842e-05,5.842e-05
44,91994.5,0.15301,0.47991,1.0604,0.95315,0.9487,0.95362,0.47717,0.23152,0.54157,1.38794,5.743e-05,5.743e-05,5.743e-05
45,94044.8,0.15119,0.48012,1.05532,0.95279,0.94894,0.95371,0.47724,0.23139,0.54093,1.38759,5.644e-05,5.644e-05,5.644e-05
46,95863.2,0.1521,0.47897,1.0574,0.95204,0.94906,0.95383,0.47747,0.23109,0.54034,1.3866,5.545e-05,5.545e-05,5.545e-05
47,98054.1,0.15174,0.47639,1.05657,0.9522,0.94912,0.95386,0.47835,0.23074,0.5396,1.38493,5.446e-05,5.446e-05,5.446e-05
48,100236,0.15149,0.47484,1.05599,0.95259,0.9495,0.95433,0.47962,0.23036,0.53768,1.38317,5.347e-05,5.347e-05,5.347e-05
49,102432,0.15141,0.47293,1.05569,0.95232,0.94977,0.95425,0.47915,0.23047,0.53769,1.3842,5.248e-05,5.248e-05,5.248e-05
50,104606,0.15158,0.47262,1.05649,0.95234,0.94977,0.95441,0.48037,0.23038,0.53707,1.38366,5.149e-05,5.149e-05,5.149e-05
51,106791,0.15127,0.47143,1.05486,0.95355,0.94995,0.95439,0.47996,0.23047,0.53573,1.38421,5.05e-05,5.05e-05,5.05e-05
52,108467,0.15078,0.4715,1.05328,0.95346,0.94995,0.95438,0.47881,0.23068,0.53631,1.38525,4.951e-05,4.951e-05,4.951e-05
53,110652,0.15104,0.4679,1.05458,0.95398,0.95004,0.95443,0.47941,0.23072,0.53633,1.3856,4.852e-05,4.852e-05,4.852e-05
54,112845,0.15008,0.46671,1.05151,0.95424,0.95013,0.95445,0.48057,0.23054,0.53482,1.3848,4.753e-05,4.753e-05,4.753e-05
55,115017,0.15002,0.46631,1.05175,0.95414,0.94968,0.95431,0.47997,0.2308,0.5349,1.3865,4.654e-05,4.654e-05,4.654e-05
56,117215,0.1497,0.46651,1.05008,0.95416,0.95004,0.95463,0.48028,0.23053,0.53394,1.38524,4.555e-05,4.555e-05,4.555e-05
57,119409,0.15027,0.46755,1.05209,0.95408,0.95013,0.95464,0.47967,0.23082,0.53425,1.38687,4.456e-05,4.456e-05,4.456e-05
58,121247,0.14927,0.46394,1.0493,0.9538,0.95032,0.95471,0.47991,0.23067,0.53356,1.38629,4.357e-05,4.357e-05,4.357e-05
59,123287,0.14939,0.46305,1.04987,0.95352,0.95004,0.95439,0.47937,0.23091,0.53402,1.38769,4.258e-05,4.258e-05,4.258e-05
60,125469,0.1502,0.46284,1.05171,0.95351,0.95075,0.9544,0.47965,0.23067,0.53305,1.38662,4.159e-05,4.159e-05,4.159e-05
61,127665,0.14941,0.46172,1.04883,0.95373,0.95076,0.95442,0.47971,0.2306,0.53267,1.38657,4.06e-05,4.06e-05,4.06e-05
62,129849,0.14954,0.46,1.04947,0.95459,0.9508,0.95475,0.47979,0.23037,0.53199,1.38557,3.961e-05,3.961e-05,3.961e-05
63,132045,0.14922,0.45729,1.04914,0.95467,0.95066,0.95472,0.4799,0.23039,0.53203,1.386,3.862e-05,3.862e-05,3.862e-05
64,134101,0.14926,0.45932,1.04892,0.95416,0.95209,0.95495,0.47997,0.23035,0.53198,1.3861,3.763e-05,3.763e-05,3.763e-05
65,135915,0.1494,0.45781,1.04988,0.95372,0.952,0.9549,0.48002,0.23042,0.53209,1.38658,3.664e-05,3.664e-05,3.664e-05
66,138112,0.14834,0.45642,1.04572,0.95418,0.9512,0.95477,0.47969,0.23064,0.53201,1.38777,3.565e-05,3.565e-05,3.565e-05
67,140307,0.14778,0.45641,1.04339,0.954,0.95209,0.95492,0.47978,0.23059,0.53197,1.38766,3.466e-05,3.466e-05,3.466e-05
68,142504,0.14793,0.45693,1.04511,0.95384,0.95218,0.95495,0.48055,0.23043,0.53172,1.38713,3.367e-05,3.367e-05,3.367e-05
69,144701,0.14741,0.45453,1.04316,0.95421,0.95183,0.95498,0.48063,0.23052,0.53171,1.38771,3.268e-05,3.268e-05,3.268e-05
70,146887,0.14765,0.45322,1.04422,0.9543,0.95191,0.95504,0.48074,0.23042,0.5312,1.38728,3.169e-05,3.169e-05,3.169e-05
71,148562,0.14682,0.45106,1.04192,0.95479,0.95191,0.955,0.48122,0.23044,0.53145,1.3876,3.07e-05,3.07e-05,3.07e-05
72,150758,0.14706,0.45262,1.04245,0.95487,0.95144,0.95489,0.48095,0.23037,0.53063,1.38723,2.971e-05,2.971e-05,2.971e-05
73,152941,0.14721,0.45189,1.04295,0.95506,0.95185,0.95504,0.48153,0.23033,0.53012,1.38717,2.872e-05,2.872e-05,2.872e-05
74,155138,0.14791,0.45164,1.04496,0.95514,0.95175,0.9549,0.48174,0.23036,0.53043,1.38752,2.773e-05,2.773e-05,2.773e-05
75,157316,0.14747,0.45079,1.04356,0.95554,0.95165,0.95493,0.48108,0.23056,0.53019,1.38861,2.674e-05,2.674e-05,2.674e-05
76,159483,0.14636,0.44968,1.04049,0.95574,0.952,0.95494,0.48068,0.23043,0.52949,1.38816,2.575e-05,2.575e-05,2.575e-05
77,161327,0.14696,0.44714,1.04195,0.95605,0.95209,0.95493,0.4812,0.23047,0.52914,1.38854,2.476e-05,2.476e-05,2.476e-05
78,163359,0.14594,0.44796,1.0386,0.95605,0.95218,0.95509,0.48196,0.23032,0.52863,1.38783,2.377e-05,2.377e-05,2.377e-05
79,165556,0.14635,0.44844,1.04033,0.95618,0.95197,0.95492,0.48077,0.23052,0.52828,1.38916,2.278e-05,2.278e-05,2.278e-05
80,167757,0.14623,0.44658,1.0392,0.95661,0.95205,0.95515,0.48143,0.23018,0.52776,1.38719,2.179e-05,2.179e-05,2.179e-05
81,169954,0.1457,0.44668,1.03841,0.95609,0.95209,0.95484,0.48085,0.23022,0.52732,1.38766,2.08e-05,2.08e-05,2.08e-05
82,172149,0.14533,0.44531,1.03672,0.9561,0.95227,0.9549,0.4812,0.23024,0.52692,1.38787,1.981e-05,1.981e-05,1.981e-05
83,174186,0.14534,0.4458,1.03679,0.95631,0.95227,0.95499,0.48163,0.23012,0.5265,1.38746,1.882e-05,1.882e-05,1.882e-05
84,175996,0.14504,0.44438,1.03674,0.95645,0.95232,0.95518,0.48252,0.22993,0.5265,1.38648,1.783e-05,1.783e-05,1.783e-05
85,178194,0.14545,0.44379,1.03784,0.95673,0.95277,0.95534,0.48277,0.22986,0.52578,1.38608,1.684e-05,1.684e-05,1.684e-05
86,180390,0.14576,0.44293,1.03813,0.95658,0.95245,0.9552,0.48271,0.22993,0.52578,1.38674,1.585e-05,1.585e-05,1.585e-05
87,182584,0.14533,0.44239,1.03719,0.95638,0.9525,0.95513,0.48238,0.23,0.52594,1.38716,1.486e-05,1.486e-05,1.486e-05
88,184762,0.14572,0.44329,1.03796,0.95628,0.95223,0.95501,0.48136,0.23017,0.52617,1.38844,1.387e-05,1.387e-05,1.387e-05
89,186943,0.14518,0.44199,1.03691,0.9564,0.95227,0.95499,0.48115,0.23026,0.52641,1.3888,1.288e-05,1.288e-05,1.288e-05
90,188616,0.14468,0.4403,1.03543,0.95594,0.95222,0.95508,0.48113,0.23033,0.52639,1.38932,1.189e-05,1.189e-05,1.189e-05
91,190789,0.15653,0.42067,1.06754,0.95561,0.9525,0.9552,0.48111,0.23024,0.52624,1.38901,1.09e-05,1.09e-05,1.09e-05
92,192974,0.15626,0.41718,1.06754,0.95554,0.95307,0.95516,0.48235,0.23017,0.52587,1.38844,9.91e-06,9.91e-06,9.91e-06
93,195158,0.15561,0.41688,1.06514,0.95563,0.95304,0.95529,0.48087,0.23031,0.52568,1.38945,8.92e-06,8.92e-06,8.92e-06
94,197342,0.15553,0.41585,1.06448,0.95568,0.95334,0.95532,0.48226,0.23015,0.52579,1.38865,7.93e-06,7.93e-06,7.93e-06
95,199527,0.15554,0.41457,1.06416,0.95523,0.95358,0.95524,0.48154,0.23009,0.52536,1.38843,6.94e-06,6.94e-06,6.94e-06
96,201368,0.15499,0.41391,1.06246,0.95563,0.95304,0.9552,0.48263,0.23012,0.5252,1.38855,5.95e-06,5.95e-06,5.95e-06
97,203381,0.15467,0.41325,1.06219,0.95545,0.95277,0.95512,0.48273,0.23021,0.52518,1.38923,4.96e-06,4.96e-06,4.96e-06
98,205565,0.15394,0.41472,1.05925,0.95498,0.95307,0.95504,0.48327,0.23021,0.52451,1.38916,3.97e-06,3.97e-06,3.97e-06
99,207728,0.1548,0.41279,1.0618,0.95463,0.95348,0.95515,0.48375,0.23011,0.52418,1.38852,2.98e-06,2.98e-06,2.98e-06
100,209912,0.15461,0.41213,1.06196,0.95427,0.95322,0.95482,0.48282,0.23019,0.52459,1.38891,1.99e-06,1.99e-06,1.99e-06
