epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4931,1.36222,4.14261,4.00351,0,0,0,0,1.27919,6.52655,3.4841,3.28125e-05,3.28125e-05,0.0672203
2,151.925,0.96095,1.78065,3.24778,0,0,0,0,1.15519,6.37196,3.35862,6.5491e-05,6.5491e-05,0.0339197
3,233.972,0.79359,1.71422,2.93137,0.57143,0.21239,0.14976,0.04085,0.94804,4.06046,3.10983,9.75095e-05,9.75095e-05,0.000618343
4,311.027,0.7991,1.61435,2.89516,0.54758,0.38053,0.37386,0.10128,0.77202,1.81645,2.84311,9.703e-05,9.703e-05,9.703e-05
5,392.79,0.73498,1.66876,2.82896,0.60014,0.4649,0.42291,0.12804,0.6786,1.4086,2.71973,9.604e-05,9.604e-05,9.604e-05
6,476.597,0.67688,1.56813,2.69796,0.65678,0.50442,0.48374,0.15728,0.64247,1.39749,2.68133,9.505e-05,9.505e-05,9.505e-05
7,560.542,0.61863,1.50324,2.66464,0.65956,0.53097,0.54407,0.1804,0.61345,1.36836,2.64338,9.406e-05,9.406e-05,9.406e-05
8,636.076,0.57038,1.51105,2.56088,0.67935,0.54867,0.56188,0.19415,0.58203,1.34843,2.58868,9.307e-05,9.307e-05,9.307e-05
9,705.511,0.63935,1.5008,2.68284,0.68373,0.57396,0.5799,0.20748,0.56184,1.32413,2.54536,9.208e-05,9.208e-05,9.208e-05
10,780.337,0.5901,1.44691,2.54463,0.68912,0.55752,0.58528,0.21676,0.55061,1.30855,2.51889,9.109e-05,9.109e-05,9.109e-05
11,861.619,0.53711,1.38362,2.4863,0.66409,0.59292,0.62131,0.23912,0.5315,1.29853,2.49864,9.01e-05,9.01e-05,9.01e-05
12,945.434,0.49403,1.48712,2.42969,0.67244,0.58407,0.65961,0.26754,0.50775,1.26793,2.45816,8.911e-05,8.911e-05,8.911e-05
13,1020.64,0.48902,1.29772,2.43482,0.71105,0.58407,0.66297,0.26854,0.5005,1.24651,2.42247,8.812e-05,8.812e-05,8.812e-05
14,1104.7,0.47796,1.28472,2.35738,0.72202,0.59292,0.68937,0.27913,0.49192,1.23427,2.39029,8.713e-05,8.713e-05,8.713e-05
15,1188.49,0.45336,1.28261,2.35135,0.76071,0.61947,0.71735,0.29438,0.4752,1.21774,2.36423,8.614e-05,8.614e-05,8.614e-05
16,1272.31,0.45103,1.29103,2.34752,0.7073,0.66372,0.72303,0.30175,0.46218,1.20275,2.3364,8.515e-05,8.515e-05,8.515e-05
17,1347.34,0.44511,1.23703,2.31542,0.73658,0.66813,0.75161,0.31358,0.44994,1.18557,2.30519,8.416e-05,8.416e-05,8.416e-05
18,1418.95,0.43878,1.2396,2.24655,0.66881,0.7506,0.76445,0.30666,0.44513,1.17557,2.28551,8.317e-05,8.317e-05,8.317e-05
19,1494.08,0.43444,1.18152,2.25007,0.71321,0.74828,0.78056,0.33867,0.42538,1.15809,2.25605,8.218e-05,8.218e-05,8.218e-05
20,1573.82,0.40981,1.16319,2.26109,0.77185,0.76106,0.80756,0.3412,0.41947,1.15304,2.22875,8.119e-05,8.119e-05,8.119e-05
21,1656.85,0.40847,1.12795,2.14798,0.79016,0.76106,0.81401,0.34223,0.41612,1.12915,2.20132,8.02e-05,8.02e-05,8.02e-05
22,1733.09,0.43022,1.15294,2.18994,0.75145,0.76991,0.8099,0.35344,0.40367,1.11328,2.17775,7.921e-05,7.921e-05,7.921e-05
23,1816.71,0.37482,1.12807,2.09676,0.78885,0.78761,0.82417,0.36248,0.39753,1.11533,2.15846,7.822e-05,7.822e-05,7.822e-05
24,1900.24,0.38782,1.08808,2.11835,0.83119,0.78761,0.83757,0.35706,0.39545,1.1027,2.13781,7.723e-05,7.723e-05,7.723e-05
25,1983.95,0.35808,1.14447,2.03693,0.80381,0.81416,0.83353,0.3526,0.38761,1.10176,2.12739,7.624e-05,7.624e-05,7.624e-05
26,2058.81,0.3815,1.1309,2.05803,0.81362,0.83186,0.84672,0.37235,0.38006,1.0993,2.10455,7.525e-05,7.525e-05,7.525e-05
