epoch,video,frames,ap50,recall,zero_det_frames
24,data6,399,83.95,92.23,0
24,data11,745,91.54,95.44,1
24,data12,1500,100.00,100.00,0
24,data15,751,64.92,99.20,2
24,data18,500,90.75,95.80,18
24,data20,400,89.11,90.00,3
24,data21,500,23.51,64.60,12
25,data6,399,85.66,93.23,0
25,data11,745,92.99,96.38,0
25,data12,1500,100.00,100.00,0
25,data15,751,53.02,96.54,3
25,data18,500,88.33,91.20,43
25,data20,400,89.35,90.00,3
25,data21,500,11.90,45.40,8
26,data6,399,78.91,82.46,0
26,data11,745,88.72,90.47,0
26,data12,1500,100.00,100.00,0
26,data15,751,42.98,87.08,3
26,data18,500,94.27,95.80,19
26,data20,400,88.85,89.25,14
26,data21,500,3.48,24.00,50
27,data6,399,86.98,91.98,0
27,data11,745,92.91,95.70,1
27,data12,1500,100.00,100.00,0
27,data15,751,53.73,89.75,3
27,data18,500,95.68,97.20,12
27,data20,400,89.06,89.75,7
27,data21,500,9.39,39.40,15
28,data6,399,82.52,86.97,0
28,data11,745,90.63,92.89,1
28,data12,1500,100.00,100.00,0
28,data15,751,45.31,87.22,6
28,data18,500,94.44,96.20,17
28,data20,400,88.11,88.75,17
28,data21,500,13.98,39.40,68
29,data6,399,85.11,88.72,0
29,data11,745,91.79,93.69,2
29,data12,1500,100.00,100.00,0
29,data15,751,52.90,85.09,8
29,data18,500,89.76,92.40,37
29,data20,400,88.10,88.50,34
29,data21,500,18.39,39.20,110
30,data6,399,89.25,93.73,0
30,data11,745,94.34,96.24,0
30,data12,1500,100.00,100.00,0
30,data15,751,57.23,96.80,1
30,data18,500,92.80,96.00,19
30,data20,400,88.53,89.25,3
30,data21,500,19.82,62.20,12
31,data6,399,76.04,82.21,1
31,data11,745,87.73,90.34,1
31,data12,1500,100.00,100.00,0
31,data15,751,52.70,93.87,2
31,data18,500,91.28,93.60,32
31,data20,400,88.65,89.00,4
31,data21,500,7.76,39.00,8
32,data6,399,88.56,92.23,0
32,data11,745,93.89,95.70,0
32,data12,1500,100.00,100.00,0
32,data15,751,59.23,98.00,3
32,data18,500,87.43,91.20,38
32,data20,400,87.92,88.50,15
32,data21,500,21.32,58.60,34
33,data6,399,88.56,92.23,0
33,data11,745,93.90,95.57,0
33,data12,1500,100.00,100.00,0
33,data15,751,65.02,98.14,2
33,data18,500,91.13,93.60,29
33,data20,400,86.99,87.25,27
33,data21,500,2.19,21.40,29
34,data6,399,83.98,88.72,0
34,data11,745,91.33,93.56,2
34,data12,1500,100.00,100.00,0
34,data15,751,67.29,97.87,0
34,data18,500,92.72,95.40,21
34,data20,400,87.90,88.25,24
34,data21,500,13.98,49.20,40
35,data6,399,85.54,88.47,5
35,data11,745,92.22,93.69,5
35,data12,1500,100.00,100.00,0
35,data15,751,59.17,93.61,2
35,data18,500,89.80,93.00,27
35,data20,400,89.39,90.00,1
35,data21,500,7.24,30.40,38
36,data6,399,87.51,92.23,0
36,data11,745,92.95,95.44,2
36,data12,1500,100.00,100.00,0
36,data15,751,63.06,96.14,2
36,data18,500,91.19,94.00,29
36,data20,400,87.98,88.50,25
36,data21,500,16.68,50.00,57
37,data6,399,89.94,94.49,0
37,data11,745,94.32,96.64,1
37,data12,1500,100.00,100.00,0
37,data15,751,68.97,97.74,2
37,data18,500,89.94,93.80,27
37,data20,400,89.31,90.25,6
37,data21,500,20.81,58.40,17
38,data6,399,87.06,90.23,4
38,data11,745,92.97,94.63,4
38,data12,1500,100.00,100.00,0
38,data15,751,66.15,97.34,0
38,data18,500,91.41,93.60,30
38,data20,400,89.51,90.50,9
38,data21,500,22.78,59.80,12
39,data6,399,87.65,90.73,5
39,data11,745,93.73,95.03,5
39,data12,1500,100.00,100.00,0
39,data15,751,67.48,95.47,2
39,data18,500,94.45,96.20,19
39,data20,400,87.84,88.25,26
39,data21,500,19.59,48.60,88
40,data6,399,87.08,90.48,6
40,data11,745,93.06,94.77,6
40,data12,1500,100.00,100.00,0
40,data15,751,62.12,94.67,0
40,data18,500,96.33,97.40,12
40,data20,400,87.85,88.00,18
40,data21,500,27.93,62.80,50
41,data6,399,87.73,91.48,2
41,data11,745,93.13,95.30,2
41,data12,1500,100.00,100.00,0
41,data15,751,64.84,97.60,0
41,data18,500,96.09,98.00,9
41,data20,400,88.49,89.00,6
41,data21,500,15.37,55.40,12
42,data6,399,89.94,92.73,3
42,data11,745,94.36,95.84,3
42,data12,1500,100.00,100.00,0
42,data15,751,63.12,94.41,2
42,data18,500,94.69,96.40,16
42,data20,400,88.25,89.25,5
42,data21,500,20.64,54.60,48
43,data6,399,88.74,91.73,1
43,data11,745,94.05,95.44,1
43,data12,1500,100.00,100.00,0
43,data15,751,64.13,94.41,4
43,data18,500,93.70,95.80,20
43,data20,400,86.79,87.75,16
43,data21,500,20.98,50.60,101
44,data6,399,89.61,92.48,2
44,data11,745,94.08,95.70,2
44,data12,1500,100.00,100.00,0
44,data15,751,65.33,94.81,4
44,data18,500,95.04,96.60,16
44,data20,400,86.82,87.75,22
44,data21,500,17.74,46.20,115
45,data6,399,85.77,89.72,6
45,data11,745,92.42,94.09,7
45,data12,1500,100.00,100.00,0
45,data15,751,61.99,93.74,2
45,data18,500,93.93,95.80,20
45,data20,400,87.54,88.50,19
45,data21,500,20.44,56.00,43
46,data6,399,86.80,90.48,5
46,data11,745,92.71,94.50,6
46,data12,1500,100.00,100.00,0
46,data15,751,62.62,95.07,3
46,data18,500,93.49,95.60,21
46,data20,400,87.80,88.75,14
46,data21,500,24.38,58.00,23
47,data6,399,87.77,91.98,6
47,data11,745,93.50,95.44,6
47,data12,1500,100.00,100.00,0
47,data15,751,65.33,96.01,1
47,data18,500,92.97,95.40,22
47,data20,400,87.88,88.75,16
47,data21,500,26.33,61.40,24
48,data6,399,87.86,90.98,4
48,data11,745,93.26,94.90,4
48,data12,1500,100.00,100.00,0
48,data15,751,64.08,94.94,1
48,data18,500,92.09,95.00,24
48,data20,400,88.41,89.00,16
48,data21,500,27.12,61.20,38
49,data6,399,88.60,91.98,1
49,data11,745,93.92,95.44,1
49,data12,1500,100.00,100.00,0
49,data15,751,61.00,93.48,5
49,data18,500,91.81,94.40,27
49,data20,400,88.49,89.00,16
49,data21,500,25.41,58.40,47
50,data6,399,86.90,90.48,2
50,data11,745,92.78,94.63,2
50,data12,1500,100.00,100.00,0
50,data15,751,62.01,92.54,4
50,data18,500,92.70,95.00,25
50,data20,400,88.35,89.25,16
50,data21,500,18.00,47.00,89
51,data6,399,86.56,90.23,1
51,data11,745,92.66,94.50,1
51,data12,1500,100.00,100.00,0
51,data15,751,65.07,94.54,4
51,data18,500,92.57,95.00,24
51,data20,400,87.70,88.50,16
51,data21,500,14.35,40.60,128
52,data6,399,87.16,91.23,0
52,data11,745,93.22,95.03,0
52,data12,1500,100.00,100.00,0
52,data15,751,67.44,96.01,2
52,data18,500,92.40,94.40,26
52,data20,400,87.73,88.75,10
52,data21,500,12.08,39.60,51
53,data6,399,87.43,91.48,0
53,data11,745,93.34,95.17,0
53,data12,1500,100.00,100.00,0
53,data15,751,68.34,96.67,2
53,data18,500,92.59,94.20,25
53,data20,400,88.72,89.25,9
53,data21,500,16.40,48.80,40
54,data6,399,88.11,91.23,0
54,data11,745,93.16,94.90,1
54,data12,1500,100.00,100.00,0
54,data15,751,67.16,96.01,2
54,data18,500,92.73,94.40,25
54,data20,400,88.67,89.00,10
54,data21,500,19.08,50.60,82
55,data6,399,87.98,91.73,1
55,data11,745,93.64,95.17,2
55,data12,1500,100.00,100.00,0
55,data15,751,66.55,95.21,3
55,data18,500,92.71,94.40,25
55,data20,400,88.66,89.25,11
55,data21,500,21.74,53.60,57
56,data6,399,86.12,90.73,1
56,data11,745,92.46,94.63,2
56,data12,1500,100.00,100.00,0
56,data15,751,66.97,94.94,2
56,data18,500,92.90,94.40,25
56,data20,400,88.64,89.25,9
56,data21,500,18.14,49.80,41
57,data6,399,84.27,89.72,1
57,data11,745,91.82,94.23,2
57,data12,1500,100.00,100.00,0
57,data15,751,66.86,93.87,2
57,data18,500,92.97,94.40,26
57,data20,400,87.94,88.50,12
57,data21,500,14.82,44.00,37
58,data6,399,83.48,88.72,2
58,data11,745,91.12,93.69,3
58,data12,1500,100.00,100.00,0
58,data15,751,67.02,93.74,3
58,data18,500,92.88,94.40,26
58,data20,400,87.93,88.75,12
58,data21,500,15.19,46.00,29
59,data6,399,83.12,88.72,1
59,data11,745,90.79,93.69,2
59,data12,1500,100.00,100.00,0
59,data15,751,67.86,93.48,4
59,data18,500,92.94,94.60,25
59,data20,400,87.96,88.50,13
59,data21,500,15.61,47.80,35
60,data6,399,83.48,88.47,2
60,data11,745,90.99,93.42,4
60,data12,1500,100.00,100.00,0
60,data15,751,67.24,93.48,4
60,data18,500,93.11,94.80,24
60,data20,400,87.98,88.25,13
60,data21,500,17.53,50.00,50
61,data6,399,83.31,87.72,4
61,data11,745,91.19,93.02,6
61,data12,1500,100.00,100.00,0
61,data15,751,67.47,93.21,5
61,data18,500,93.11,94.80,24
61,data20,400,87.99,88.25,13
61,data21,500,18.20,51.20,53
62,data6,399,83.07,87.47,6
62,data11,745,90.65,92.89,8
62,data12,1500,100.00,100.00,0
62,data15,751,68.21,94.14,3
62,data18,500,93.84,95.20,23
62,data20,400,87.98,88.25,14
62,data21,500,18.29,50.40,62
63,data6,399,83.50,87.72,6
63,data11,745,91.30,93.02,8
63,data12,1500,100.00,100.00,0
63,data15,751,68.72,93.87,3
63,data18,500,93.93,95.40,22
63,data20,400,87.84,88.00,17
63,data21,500,16.92,48.20,71
64,data6,399,83.65,87.72,5
64,data11,745,91.36,93.15,6
64,data12,1500,100.00,100.00,0
64,data15,751,69.17,93.74,4
64,data18,500,93.94,95.60,21
64,data20,400,87.71,88.00,18
64,data21,500,17.06,48.20,70
65,data6,399,84.19,88.22,5
65,data11,745,91.45,93.56,5
65,data12,1500,100.00,100.00,0
65,data15,751,69.27,93.61,4
65,data18,500,93.97,95.60,20
65,data20,400,87.68,88.00,17
65,data21,500,17.68,49.40,63
66,data6,399,84.06,88.22,5
66,data11,745,91.41,93.56,5
66,data12,1500,100.00,100.00,0
66,data15,751,69.50,93.08,4
66,data18,500,93.98,95.40,22
66,data20,400,87.66,88.00,17
66,data21,500,17.25,49.40,59
67,data6,399,83.74,87.97,5
67,data11,745,91.41,93.42,5
67,data12,1500,100.00,100.00,0
67,data15,751,69.92,93.34,5
67,data18,500,94.00,95.40,21
67,data20,400,87.68,88.00,14
67,data21,500,18.34,51.80,48
68,data6,399,83.56,87.22,5
68,data11,745,91.28,93.02,5
68,data12,1500,100.00,100.00,0
68,data15,751,69.78,93.08,5
68,data18,500,94.01,95.60,20
68,data20,400,87.63,88.00,14
68,data21,500,19.15,53.20,46
69,data6,399,83.33,87.22,5
69,data11,745,90.63,92.89,5
69,data12,1500,100.00,100.00,0
69,data15,751,68.76,92.54,8
69,data18,500,94.04,95.40,21
69,data20,400,87.67,88.00,13
69,data21,500,18.34,52.40,48
70,data6,399,83.11,87.47,5
70,data11,745,91.01,93.02,5
70,data12,1500,100.00,100.00,0
70,data15,751,68.50,92.01,7
70,data18,500,93.33,95.00,23
70,data20,400,87.67,88.00,12
70,data21,500,17.85,51.40,51
71,data6,399,82.98,87.47,4
71,data11,745,90.93,93.02,4
71,data12,1500,100.00,100.00,0
71,data15,751,68.66,92.01,7
71,data18,500,93.28,95.00,23
71,data20,400,87.68,88.00,14
71,data21,500,18.28,51.60,53
72,data6,399,82.80,87.22,4
72,data11,745,90.87,93.02,4
72,data12,1500,100.00,100.00,0
72,data15,751,68.34,91.88,8
72,data18,500,93.26,94.80,25
72,data20,400,87.64,88.00,15
72,data21,500,19.21,52.60,58
73,data6,399,82.84,87.72,4
73,data11,745,90.83,93.29,4
73,data12,1500,100.00,100.00,0
73,data15,751,68.36,91.74,8
73,data18,500,93.24,95.00,24
73,data20,400,87.62,88.00,15
73,data21,500,20.36,54.00,57
74,data6,399,82.97,87.72,4
74,data11,745,90.88,93.29,4
74,data12,1500,100.00,100.00,0
74,data15,751,68.08,91.74,8
74,data18,500,93.23,94.80,25
74,data20,400,87.65,88.00,14
74,data21,500,20.49,54.60,60
75,data6,399,82.96,87.72,4
75,data11,745,90.84,93.29,4
75,data12,1500,100.00,100.00,0
75,data15,751,67.86,91.74,8
75,data18,500,93.21,94.80,25
75,data20,400,87.64,88.00,14
75,data21,500,20.26,54.00,62
76,data6,399,82.93,87.47,4
76,data11,745,90.80,93.15,4
76,data12,1500,100.00,100.00,0
76,data15,751,67.83,91.74,9
76,data18,500,93.16,94.80,24
76,data20,400,87.64,88.00,15
76,data21,500,19.71,53.80,67
77,data6,399,82.87,87.47,4
77,data11,745,90.77,93.15,4
77,data12,1500,100.00,100.00,0
77,data15,751,67.96,91.74,11
77,data18,500,93.12,94.60,25
77,data20,400,87.61,88.00,15
77,data21,500,20.01,53.80,67
78,data6,399,82.89,87.47,4
78,data11,745,90.80,93.02,5
78,data12,1500,100.00,100.00,0
78,data15,751,68.12,91.74,12
78,data18,500,93.10,94.60,26
78,data20,400,87.60,88.00,15
78,data21,500,20.19,53.80,68
79,data6,399,82.87,87.47,4
79,data11,745,90.35,92.89,6
79,data12,1500,100.00,100.00,0
79,data15,751,68.00,91.61,13
79,data18,500,93.08,94.60,26
79,data20,400,86.86,87.75,15
79,data21,500,20.52,54.00,65
80,data6,399,82.83,87.22,5
80,data11,745,90.33,92.75,7
80,data12,1500,100.00,100.00,0
80,data15,751,67.99,91.61,13
80,data18,500,93.06,94.60,25
80,data20,400,86.85,87.75,15
80,data21,500,20.57,54.20,66
81,data6,399,82.51,86.97,6
81,data11,745,90.32,92.75,8
81,data12,1500,100.00,100.00,0
81,data15,751,67.90,91.61,13
81,data18,500,93.08,94.40,25
81,data20,400,86.84,87.75,15
81,data21,500,20.72,54.20,66
82,data6,399,82.60,86.97,6
82,data11,745,90.36,92.75,8
82,data12,1500,100.00,100.00,0
82,data15,751,67.79,91.61,13
82,data18,500,93.07,94.40,26
82,data20,400,86.84,87.75,15
82,data21,500,20.96,54.80,66
83,data6,399,82.95,87.22,6
83,data11,745,90.37,92.89,8
83,data12,1500,100.00,100.00,0
83,data15,751,67.75,91.61,13
83,data18,500,93.04,94.40,25
83,data20,400,86.85,87.75,15
83,data21,500,21.56,55.20,67
84,data6,399,82.98,87.22,7
84,data11,745,90.39,92.89,9
84,data12,1500,100.00,100.00,0
84,data15,751,67.69,91.48,13
84,data18,500,93.02,94.60,25
84,data20,400,86.85,87.75,16
84,data21,500,21.88,55.80,68
85,data6,399,82.97,87.22,7
85,data11,745,90.41,92.89,9
85,data12,1500,100.00,100.00,0
85,data15,751,67.61,91.21,14
85,data18,500,93.00,94.60,25
85,data20,400,87.65,88.00,16
85,data21,500,22.33,56.00,69
86,data6,399,82.95,87.22,7
86,data11,745,90.42,92.89,9
86,data12,1500,100.00,100.00,0
86,data15,751,67.58,91.08,14
86,data18,500,93.00,94.60,25
86,data20,400,87.65,88.00,16
86,data21,500,22.62,56.00,70
87,data6,399,82.57,86.97,7
87,data11,745,90.40,92.75,9
87,data12,1500,100.00,100.00,0
87,data15,751,67.70,91.34,14
87,data18,500,93.02,94.60,25
87,data20,400,87.65,88.00,15
87,data21,500,22.60,56.00,70
88,data6,399,82.55,86.97,7
88,data11,745,90.38,92.75,9
88,data12,1500,100.00,100.00,0
88,data15,751,67.75,91.34,14
88,data18,500,93.04,94.60,25
88,data20,400,87.63,88.00,15
88,data21,500,22.54,56.20,71
89,data6,399,82.52,86.97,7
89,data11,745,90.38,92.75,9
89,data12,1500,100.00,100.00,0
89,data15,751,67.87,91.34,14
89,data18,500,93.04,94.60,25
89,data20,400,86.89,87.75,15
89,data21,500,22.54,56.20,72
90,data6,399,82.52,86.97,7
90,data11,745,90.37,92.75,9
90,data12,1500,100.00,100.00,0
90,data15,751,67.92,91.48,13
90,data18,500,93.04,94.60,24
90,data20,400,86.89,87.75,15
90,data21,500,22.55,56.20,72
91,data6,399,82.51,86.72,6
91,data11,745,90.36,92.62,8
91,data12,1500,100.00,100.00,0
91,data15,751,68.02,91.61,14
91,data18,500,93.04,94.60,24
91,data20,400,86.89,87.75,15
91,data21,500,23.06,56.20,72
92,data6,399,82.49,86.72,6
92,data11,745,90.35,92.62,8
92,data12,1500,100.00,100.00,0
92,data15,751,68.15,91.61,14
92,data18,500,93.04,94.60,24
92,data20,400,86.89,87.75,15
92,data21,500,23.03,56.20,72
93,data6,399,82.47,86.72,6
93,data11,745,90.36,92.62,8
93,data12,1500,100.00,100.00,0
93,data15,751,68.15,91.61,14
93,data18,500,93.04,94.60,24
93,data20,400,86.89,87.75,15
93,data21,500,23.04,56.40,72
94,data6,399,82.44,86.72,6
94,data11,745,90.35,92.62,8
